Experiment,Model_x,Accuracy Mean,Accuracy Std,Convergence Mean,Convergence Std,tmax,num_steps,attractor,Model_y,Best Accuracy,Spikes at Convergence,Efficiency (Acc/Spike),largest_lyapunov,lyapunov_sum,kaplan_yorke_dim,all_lyapunov
Aizawa-SNN,SNN,94.375,0.9687914336075772,21.1,9.491575211733824,8,5,aizawa,SNN,94.75806451612904,8089184.0,0.0011714168513922,0.1763565081163201,-0.833630926169368,0.58149664590469,"0.17635650811632017, -0.30328035313418783, -0.7067070811515003"
Chua-SNN,SNN,94.34475806451611,0.3889875278543306,31.1,10.549407566304376,8,5,chua,SNN,94.0524193548387,14994160.0,0.0006272603423922,0.4028472752827052,-4.4159119676515415,1.0367670116166128,"0.4028472752827052, -0.23429004295091507, -4.584469199983332"
Lorenz-SNN,SNN,94.75806451612904,0.6837026192666594,18.7,7.294518489934754,4,20,lorenz,SNN,94.75806451612904,60806942.0,0.0001558342870064,0.5825388196028114,-13.66689350846723,0.3678126853614255,"0.5825388196028114, -1.5837920843605178, -12.665640243709523"
Nose_hoover-SNN,SNN,93.91129032258064,0.6085237206768781,24.4,13.425349157470729,4,5,nose_hoover,SNN,94.0524193548387,7959167.0,0.0011816867186583,0.6679941487276057,0.9658811099245118,3.0,"0.6679941487276057, 0.26445865849698136, 0.033428302699924854"
Rossler-SNN,SNN,94.2439516129032,0.7917639300749594,32.1,21.98385771424115,32,3,rossler,SNN,93.8508064516129,3410933.0,0.0027514702414738,0.0974889206646435,-5.362215642825683,1.0346455486780313,"0.09748892066464354, 0.09495531867274486, -5.5546598821630715"
Sprott-SNN,SNN,94.69758064516128,0.6051746378953072,32.1,13.895682782792646,32,10,sprott,SNN,94.65725806451611,16226528.0,0.0005833488104449,0.1846102404119332,-0.9999999994671392,1.115887421105343,"0.1846102404119332, -0.05353256567906516, -1.1310776742000073"
