Experiment,Model,Accuracy Mean,Accuracy Std,Convergence Mean,Convergence Std,tmax,num_steps
Chua-SNN,SNN,91.89516129032258,2.019754804252935,35.4,12.034949106664309,8,1
Lorenz-SNN,SNN,92.1975806451613,1.8903292895950543,39.8,23.51510153071851,8,10
Rossler-SNN,SNN,94.18346774193547,0.3636025967111158,20.8,8.611620056644394,8,10
Aizawa-SNN,SNN,93.88104838709678,0.5101443922935498,18.3,11.30530848760882,8,10
Nose_hoover-SNN,SNN,93.66935483870968,0.8527534670385731,28.6,8.138795979750322,8,10
Sprott-SNN,SNN,94.22379032258064,0.6263804993107247,28.7,10.621205204683694,8,10
Chua-SNN,SNN,94.09274193548389,0.4983551247704973,28.0,12.17374223482656,8,10
Lorenz-SNN,SNN,93.92137096774194,0.6518210951744849,24.4,15.441502517566091,8,20
Rossler-SNN,SNN,93.98185483870968,0.477209692683253,28.5,9.243916918709298,8,20
Aizawa-SNN,SNN,94.20362903225806,0.8055059980231035,29.7,13.89280389266328,8,20
Nose_hoover-SNN,SNN,93.70967741935485,0.6957836260781212,22.1,13.456968455042167,8,20
Sprott-SNN,SNN,94.47580645161293,0.4788041164128188,26.9,11.995415791042843,8,20
Chua-SNN,SNN,94.33467741935485,0.7554433062578709,28.7,11.090987332063811,8,20
Lorenz-SNN,SNN,93.31653225806453,1.0763655780915309,31.8,13.607350954539244,8,3
Rossler-SNN,SNN,93.4375,0.6237793751776192,29.7,6.928924880528004,8,3
Aizawa-SNN,SNN,94.12298387096776,0.6280007309343744,28.1,8.665448632355973,8,3
Nose_hoover-SNN,SNN,92.94354838709675,0.8482130632242979,17.3,8.66083136886985,8,3
Sprott-SNN,SNN,93.71975806451611,0.5558998257646062,15.7,5.866003750424985,8,3
Chua-SNN,SNN,93.00403225806453,0.8579807593126281,30.1,12.30812739615576,8,3
Lorenz-SNN,SNN,92.88306451612902,0.595014296910229,32.6,17.33320512773099,8,5
Rossler-SNN,SNN,94.0625,0.5474263702574801,17.7,10.53612832116238,8,5
Aizawa-SNN,SNN,94.375,0.9687914336075772,21.1,9.491575211733824,8,5
Nose_hoover-SNN,SNN,93.88104838709675,0.5631644243332012,20.0,7.745966692414834,8,5
Sprott-SNN,SNN,94.21370967741936,0.6899168803334147,21.9,13.508885964430968,8,5
Chua-SNN,SNN,94.34475806451611,0.3889875278543306,31.1,10.549407566304376,8,5
