episode,reward,loss,spikes_per_episode
1,36.0,412.49041748046875,0
2,16.0,88.44302368164062,0
3,31.0,311.35552978515625,0
4,13.0,62.7236213684082,0
5,20.0,139.2364501953125,0
6,19.0,126.31149291992188,0
7,13.0,58.96794128417969,0
8,27.0,242.01390075683594,0
9,19.0,122.64971923828125,0
10,17.0,99.75736999511719,0
11,18.0,110.82122802734375,0
12,17.0,101.92390441894531,0
13,34.0,370.777099609375,0
14,24.0,192.42083740234375,0
15,22.0,162.55296325683594,0
16,14.0,70.54830932617188,0
17,23.0,178.06292724609375,0
18,17.0,99.49789428710938,0
19,16.0,91.51553344726562,0
20,41.0,526.5836181640625,0
21,11.0,45.19038009643555,0
22,11.0,43.842063903808594,0
23,19.0,124.60554504394531,0
24,22.0,163.78306579589844,0
25,12.0,51.77421569824219,0
26,13.0,60.193275451660156,0
27,50.0,754.20751953125,0
28,23.0,178.13888549804688,0
29,13.0,60.40203094482422,0
30,24.0,192.131591796875,0
31,14.0,69.42221069335938,0
32,14.0,70.33650207519531,0
33,23.0,177.04714965820312,0
34,25.0,207.4779510498047,0
35,42.0,546.4959716796875,0
36,24.0,192.00967407226562,0
37,9.0,30.968568801879883,0
38,15.0,79.62345886230469,0
39,25.0,207.39303588867188,0
40,13.0,60.7719841003418,0
41,34.0,369.9158020019531,0
42,27.0,240.7508087158203,0
43,24.0,191.91476440429688,0
44,21.0,149.76998901367188,0
45,94.0,2309.474609375,0
46,43.0,570.7091674804688,0
47,9.0,30.70020294189453,0
48,15.0,79.03875732421875,0
49,24.0,191.7033233642578,0
50,20.0,137.0784149169922,0
51,15.0,78.81941986083984,0
52,15.0,79.04402160644531,0
53,18.0,111.51361083984375,0
54,36.0,409.50775146484375,0
55,13.0,60.54339599609375,0
56,17.0,101.530029296875,0
57,11.0,45.49363708496094,0
58,53.0,833.4443969726562,0
59,11.0,44.106117248535156,0
60,23.0,176.21929931640625,0
61,23.0,177.9267578125,0
62,37.0,429.42333984375,0
63,23.0,176.5338592529297,0
64,21.0,151.57473754882812,0
65,14.0,70.80974578857422,0
66,16.0,90.83552551269531,0
67,16.0,90.91984558105469,0
68,15.0,78.48949432373047,0
69,27.0,237.65638732910156,0
70,28.0,255.6556396484375,0
71,16.0,88.54180908203125,0
72,21.0,147.8686065673828,0
73,15.0,82.29963684082031,0
74,33.0,349.0629577636719,0
75,38.0,452.4324951171875,0
76,19.0,124.75105285644531,0
77,25.0,205.01412963867188,0
78,9.0,30.408981323242188,0
79,15.0,80.20242309570312,0
80,21.0,149.02938842773438,0
81,11.0,44.2640380859375,0
82,31.0,307.25323486328125,0
83,13.0,61.67149353027344,0
84,33.0,347.2416687011719,0
85,19.0,125.99522399902344,0
86,35.0,386.43902587890625,0
87,14.0,69.9732666015625,0
88,9.0,32.02050018310547,0
89,13.0,60.85723876953125,0
90,13.0,62.15065002441406,0
91,21.0,149.16403198242188,0
92,28.0,255.07586669921875,0
93,16.0,90.48478698730469,0
94,12.0,52.42831039428711,0
95,12.0,52.733768463134766,0
96,14.0,70.56820678710938,0
97,13.0,62.71965789794922,0
98,10.0,38.281272888183594,0
99,12.0,53.27827835083008,0
100,24.0,190.6112823486328,0
101,14.0,70.90849304199219,0
102,11.0,46.22211456298828,0
103,16.0,89.85508728027344,0
104,20.0,136.133056640625,0
105,19.0,123.70913696289062,0
106,38.0,450.12847900390625,0
107,11.0,45.310089111328125,0
108,21.0,150.36489868164062,0
109,22.0,161.87759399414062,0
110,20.0,134.96583557128906,0
111,21.0,148.25302124023438,0
112,26.0,221.49688720703125,0
113,13.0,61.56837463378906,0
114,43.0,564.1801147460938,0
115,19.0,123.16171264648438,0
116,32.0,326.2090759277344,0
117,18.0,110.48540496826172,0
118,45.0,613.0567626953125,0
119,11.0,45.51178741455078,0
120,24.0,194.98629760742188,0
121,25.0,204.79086303710938,0
122,30.0,289.2415771484375,0
123,17.0,99.54792785644531,0
124,28.0,254.5613250732422,0
125,29.0,273.943603515625,0
126,21.0,147.6262969970703,0
127,31.0,309.91473388671875,0
128,17.0,98.64750671386719,0
129,40.0,494.71832275390625,0
130,16.0,91.15736389160156,0
131,50.0,739.204833984375,0
132,12.0,52.469627380371094,0
133,14.0,71.17066955566406,0
134,42.0,536.7225341796875,0
135,25.0,204.41305541992188,0
136,26.0,220.12704467773438,0
137,15.0,81.52611541748047,0
138,31.0,303.04736328125,0
139,66.0,1220.220458984375,0
140,31.0,304.2800598144531,0
141,19.0,128.81231689453125,0
142,30.0,299.4613952636719,0
143,16.0,91.41387939453125,0
144,18.0,111.64170837402344,0
145,14.0,73.25064086914062,0
146,18.0,113.66221618652344,0
147,25.0,202.2578125,0
148,15.0,79.93106079101562,0
149,24.0,187.1304931640625,0
150,61.0,1063.946044921875,0
151,13.0,61.44997024536133,0
152,27.0,230.78216552734375,0
153,23.0,171.0928955078125,0
154,17.0,101.07125854492188,0
155,26.0,217.86932373046875,0
156,15.0,85.3043441772461,0
157,17.0,101.19159698486328,0
158,65.0,1171.298583984375,0
159,27.0,232.50169372558594,0
160,14.0,70.37364959716797,0
161,15.0,84.30300903320312,0
162,21.0,145.47052001953125,0
163,29.0,272.0743408203125,0
164,12.0,56.114898681640625,0
165,18.0,115.83244323730469,0
166,26.0,220.2686004638672,0
167,54.0,835.1915893554688,0
168,15.0,78.12977600097656,0
169,11.0,47.147010803222656,0
170,42.0,527.7628173828125,0
