episode,reward,loss,spikes_per_episode
1,13.0,41.18019485473633,58.707205176353455
2,10.0,24.86040496826172,88.54257997870445
3,11.0,33.36448287963867,87.02707560360432
4,15.0,81.08720397949219,109.28873236477375
5,12.0,45.67340850830078,107.64924486726522
6,33.0,384.3828125,265.24251171946526
7,10.0,14.269287109375,81.24470472335815
8,10.0,24.667774200439453,83.38944613933563
9,11.0,23.075077056884766,105.82561444491148
10,11.0,37.89043426513672,91.4536112099886
11,12.0,33.03803253173828,152.3054347038269
12,12.0,33.3175048828125,129.97773870825768
13,35.0,453.29095458984375,318.9133781045675
14,9.0,12.068992614746094,127.9115482121706
15,13.0,44.637474060058594,177.14857450127602
16,13.0,45.835567474365234,195.62996023893356
17,14.0,61.42975616455078,204.36677041649818
18,9.0,11.277297973632812,109.03574245423079
19,15.0,73.80494689941406,156.35296316444874
20,10.0,17.895519256591797,137.1758717149496
21,29.0,295.45379638671875,335.6032794266939
22,10.0,26.220584869384766,118.23773048073053
23,8.0,10.447832107543945,93.86488546431065
24,9.0,12.669075012207031,105.852284014225
25,13.0,54.91666793823242,182.76081369817257
26,13.0,40.47549057006836,157.90948320180178
27,9.0,14.396259307861328,137.73496329784393
28,9.0,14.903352737426758,125.07598076760769
29,12.0,30.676301956176758,167.84567337483168
30,10.0,27.696130752563477,155.7209346741438
31,9.0,12.806041717529297,128.1714854389429
32,10.0,16.17837142944336,124.72704628109932
33,13.0,50.41092300415039,151.4281497001648
34,12.0,46.0477294921875,180.48264801502228
35,13.0,44.377376556396484,213.98878781497478
36,10.0,24.342350006103516,164.30340367555618
37,14.0,61.317630767822266,158.0403970181942
38,14.0,68.41018676757812,226.43094645440578
39,16.0,76.35517120361328,228.86351788043976
40,12.0,33.50773620605469,177.12487703561783
41,11.0,28.571208953857422,111.43976026773453
42,15.0,72.18353271484375,204.0385309383273
43,13.0,50.236541748046875,164.09283258020878
44,14.0,54.91183090209961,213.63202886283398
45,13.0,47.54113006591797,189.2349865436554
46,9.0,12.198248863220215,140.3793439567089
47,14.0,68.48902893066406,159.7730301618576
48,9.0,15.000368118286133,152.90374752879143
49,14.0,53.565704345703125,138.2130917981267
50,38.0,510.42828369140625,389.0387293547392
51,14.0,67.6885986328125,203.7303880304098
52,10.0,16.33372688293457,121.17149313539267
53,14.0,54.94422912597656,194.93956416845322
54,8.0,10.8860502243042,122.21592372655869
55,16.0,78.86864471435547,184.34206077456474
56,13.0,50.48152542114258,153.5815763399005
57,10.0,26.701019287109375,159.26080349087715
