episode,reward,loss,spikes_per_episode
1,26.0,220.08639526367188,2914.386730581522
2,14.0,62.09867477416992,1518.9658799171448
3,17.0,99.7995376586914,1818.7290351688862
4,19.0,118.85639190673828,2057.2181190103292
5,31.0,301.73297119140625,3496.202604353428
6,62.0,1119.94970703125,8081.233421228826
7,27.0,222.5845947265625,3126.261808075011
8,13.0,48.48099136352539,1526.6515075340867
9,12.0,43.421356201171875,1302.7843844667077
10,17.0,99.9892807006836,1835.7474745213985
11,19.0,107.32850646972656,2160.5492409840226
12,16.0,73.53007507324219,1911.5302698612213
13,14.0,59.451568603515625,1497.875387787819
14,29.0,296.8414001464844,3689.8088598251343
15,16.0,80.45176696777344,1728.2417280077934
16,24.0,173.18429565429688,2815.6699837893248
17,43.0,534.4230346679688,5069.600749537349
18,12.0,41.99089050292969,1371.5968617498875
19,13.0,74.44103240966797,1683.0328237712383
20,38.0,461.0975341796875,4703.050562039018
21,29.0,255.50592041015625,3519.177756778896
22,16.0,100.62942504882812,2112.854972779751
23,44.0,577.1157836914062,5197.830382876098
24,25.0,197.43626403808594,2872.749660037458
25,26.0,204.6846923828125,3037.1101108193398
26,64.0,1140.9212646484375,8736.457559622824
27,18.0,123.31015014648438,2445.141754966229
28,17.0,104.34358215332031,1900.0776528418064
29,16.0,96.7232437133789,1916.6451602578163
30,27.0,248.98831176757812,3593.241900295019
31,33.0,307.2362060546875,4251.842127323151
32,32.0,285.0097351074219,3821.340509608388
33,62.0,1043.83251953125,7400.246049981564
34,57.0,862.3759765625,7143.640099450946
35,38.0,385.16424560546875,4930.1850587800145
36,35.0,382.62420654296875,4406.086300052702
37,36.0,381.42254638671875,4610.285706460476
38,39.0,390.5723876953125,4933.283846698701
39,33.0,297.82391357421875,4195.719263017178
40,25.0,201.8261260986328,3383.735039830208
41,25.0,198.7666015625,2805.7776524722576
42,98.0,2296.23779296875,13775.636646173894
43,35.0,374.82647705078125,4259.4577273875475
44,87.0,1608.95703125,10835.02306792885
45,31.0,275.6886291503906,3575.7854378670454
46,39.0,424.70172119140625,4756.891504563391
47,31.0,282.3675537109375,4499.229523926973
48,124.0,2522.62646484375,21173.223280861974
49,40.0,472.3268737792969,5877.986334070563
50,150.0,4120.23583984375,23829.90644272417
51,218.0,6836.52685546875,33752.30552365631
52,160.0,4826.830078125,25377.25241792947
53,61.0,824.5962524414062,9583.10336074233
54,99.0,2010.5291748046875,17990.892124429345
55,174.0,4868.33447265625,30720.778421007097
56,172.0,4830.9775390625,27974.123352624476
57,208.0,6298.03369140625,35583.85385546461
58,79.0,1435.9700927734375,12298.625584639609
59,178.0,5484.30322265625,27455.57427866012
60,84.0,1686.713134765625,13997.255493745208
61,115.0,2739.56787109375,20411.004682689905
62,205.0,6327.3251953125,32509.647269889712
63,44.0,489.3343200683594,6694.872023589909
64,147.0,4052.22314453125,26071.859829224646
65,125.0,2837.94384765625,21789.27727112174
66,209.0,6238.23583984375,35564.140509560704
67,450.0,17939.298828125,73242.77492642403
68,141.0,4057.578369140625,24378.804181344807
69,132.0,3074.61083984375,23693.954487986863
70,92.0,1325.94287109375,16598.811013624072
71,103.0,1816.2733154296875,16809.15205298364
72,122.0,2618.548095703125,19448.313707098365
73,181.0,5186.40478515625,29475.95312502235
74,155.0,3739.99755859375,25992.09602366388
75,284.0,9596.98046875,45347.70247402787
76,131.0,3109.853515625,21766.027836360037
77,173.0,4715.6259765625,29984.952701710165
78,244.0,7428.82763671875,36566.06240197271
79,77.0,1154.9835205078125,12226.452024184167
80,201.0,5534.41064453125,34846.65705598146
81,290.0,9192.72265625,46193.63237011433
82,169.0,4183.2490234375,30550.33143913746
83,245.0,6901.35400390625,42447.39639869332
84,129.0,1921.059814453125,24964.994423493743
85,163.0,3341.23828125,31047.359909325838
86,160.0,3519.52978515625,28255.51960492879
87,233.0,7034.75146484375,45209.560893155634
88,140.0,2388.66796875,26772.305497437716
89,273.0,8008.56494140625,45212.35171955824
90,170.0,3576.282958984375,29310.780060753226
91,293.0,7615.30908203125,56976.27651105076
92,162.0,3660.272705078125,27542.330988250673
93,278.0,7805.07958984375,48950.98711416125
94,150.0,3684.473388671875,29122.524533234537
95,230.0,5347.0537109375,44839.67106103897
96,215.0,6270.26416015625,35592.9730386883
97,145.0,3206.81982421875,25538.335757039487
98,353.0,10019.326171875,67319.7598715052
99,138.0,2407.68017578125,25739.6384729594
100,153.0,3203.54345703125,29680.948548689485
101,200.0,4951.6669921875,34827.95128405839
102,128.0,3002.98095703125,20214.503052420914
103,301.0,8420.8046875,57213.32273490727
104,149.0,3851.31689453125,26719.02022254467
105,157.0,3656.806640625,27146.036361537874
106,152.0,2950.254638671875,27968.230725884438
107,352.0,10414.15625,58876.96352339536
108,245.0,7033.31884765625,42385.4916279763
109,500.0,18330.205078125,91878.85403078794
110,258.0,6844.3056640625,44872.55285067856
111,314.0,9067.4658203125,56127.92097441852
112,161.0,4209.05224609375,27651.33000971377
113,145.0,4147.42626953125,25078.656151086092
114,197.0,5004.904296875,33796.256654806435
115,212.0,4892.9814453125,36409.595836274326
116,161.0,3628.294677734375,27406.86362758279
117,367.0,10190.9892578125,63470.29370404035
118,141.0,2707.958251953125,24236.566665388644
119,357.0,9786.8212890625,64886.19321361184
120,188.0,4407.8056640625,34131.27488407493
121,181.0,3835.818359375,31661.137663781643
122,175.0,4110.6884765625,30845.51303205639
123,208.0,6096.55078125,36610.67740649544
124,215.0,4229.41552734375,37317.98011723161
125,224.0,6135.1904296875,41132.70703739673
126,271.0,5838.474609375,49206.192125335336
127,303.0,9487.26953125,53065.50559286773
128,183.0,4846.8037109375,32175.23655410111
129,272.0,6880.0400390625,47414.50877367705
130,173.0,3700.875732421875,29224.36583198607
131,326.0,9100.4970703125,53991.464355133474
132,324.0,11134.7421875,56311.075632199645
133,404.0,14756.4345703125,68954.2938003093
134,419.0,12509.3447265625,73580.56450983882
135,204.0,5540.30615234375,35158.83417952061
136,294.0,7616.64111328125,50767.881018824875
137,166.0,3924.11767578125,29028.054164797068
138,173.0,3896.20849609375,31626.980470061302
139,142.0,2784.54736328125,24874.950442656875
140,306.0,7515.50537109375,56836.06796571612
141,140.0,3162.583740234375,24062.668929748237
142,281.0,6128.14306640625,49257.094876527786
143,165.0,3928.83203125,27330.070033192635
144,245.0,5108.732421875,44595.44704888016
145,157.0,4256.7939453125,28312.12379551679
146,214.0,4451.744140625,39826.11800877005
147,168.0,3639.651611328125,30671.53678613901
148,363.0,8765.7490234375,63343.39008464664
149,271.0,8554.1640625,45099.05774246156
150,307.0,8937.900390625,56132.054074674845
151,200.0,4238.591796875,37158.112009085715
152,228.0,5267.974609375,41870.10007247329
153,330.0,9435.6162109375,63002.64448582381
154,294.0,7391.9326171875,53755.56397163868
155,211.0,5674.13330078125,37241.34437073022
156,181.0,3548.94775390625,33298.90936694294
157,140.0,3262.025390625,26338.624496407807
158,271.0,7003.3720703125,52007.436312422156
159,259.0,6307.2353515625,44022.31299383938
160,361.0,10957.33203125,69661.69974701107
161,139.0,2410.69970703125,26889.33542124182
162,101.0,1218.8277587890625,18999.299867719412
163,158.0,3601.3828125,29118.471249885857
164,207.0,4540.2919921875,40936.79009485245
165,199.0,3859.80810546875,38039.61126212776
166,192.0,3965.16455078125,36599.90879279375
167,237.0,6154.34912109375,42417.79889200628
168,209.0,5492.00244140625,38493.49931333214
169,165.0,3110.640625,32261.855589143932
170,199.0,3260.037109375,37864.50802642107
171,181.0,4226.0390625,33848.41980089247
172,124.0,2419.41455078125,23777.759081043303
173,199.0,4654.2373046875,39470.054497271776
174,144.0,2238.9140625,27497.492977894843
175,228.0,6104.0205078125,42064.905946053565
176,154.0,3660.41796875,29877.33443079889
177,266.0,5917.3955078125,51956.74708496779
