episode,reward,loss,spikes_per_episode
1,18.0,112.5337142944336,0
2,14.0,70.0576400756836,0
3,12.0,52.081748962402344,0
4,24.0,193.020263671875,0
5,13.0,60.702293395996094,0
6,39.0,478.107421875,0
7,25.0,208.4844970703125,0
8,11.0,44.26011276245117,0
9,9.0,30.375999450683594,0
10,13.0,60.562828063964844,0
11,22.0,163.94647216796875,0
12,10.0,36.878440856933594,0
13,20.0,136.35818481445312,0
14,16.0,89.39712524414062,0
15,17.0,100.26933288574219,0
16,18.0,111.56607055664062,0
17,11.0,43.47197723388672,0
18,28.0,258.8403625488281,0
19,13.0,59.73080825805664,0
20,48.0,700.9387817382812,0
21,22.0,163.86753845214844,0
22,22.0,165.38404846191406,0
23,17.0,101.28005981445312,0
24,10.0,38.653236389160156,0
25,24.0,191.57754516601562,0
26,31.0,309.46905517578125,0
27,14.0,69.04834747314453,0
28,27.0,239.3128662109375,0
29,25.0,207.07847595214844,0
30,43.0,571.0224609375,0
31,26.0,224.60137939453125,0
32,9.0,31.60565757751465,0
33,16.0,88.70001983642578,0
34,15.0,78.38191223144531,0
35,25.0,210.10775756835938,0
36,33.0,351.617919921875,0
37,54.0,862.62060546875,0
38,12.0,51.295135498046875,0
39,30.0,291.01934814453125,0
40,59.0,1017.5262451171875,0
41,16.0,88.81234741210938,0
42,23.0,176.65582275390625,0
43,28.0,255.75619506835938,0
44,17.0,99.4135971069336,0
45,20.0,138.602783203125,0
46,23.0,176.3714599609375,0
47,60.0,1043.863525390625,0
48,26.0,221.779052734375,0
49,15.0,81.95934295654297,0
50,38.0,454.4798278808594,0
51,12.0,51.65592956542969,0
52,23.0,178.55484008789062,0
53,12.0,51.78857421875,0
54,30.0,292.0708312988281,0
55,16.0,89.53713989257812,0
56,12.0,52.00836181640625,0
57,25.0,207.97586059570312,0
58,17.0,100.30297088623047,0
59,25.0,206.14633178710938,0
60,79.0,1693.682861328125,0
61,13.0,60.52989959716797,0
62,18.0,111.21131896972656,0
63,21.0,149.21597290039062,0
64,23.0,176.7572021484375,0
65,18.0,114.06170654296875,0
66,12.0,54.03314208984375,0
67,15.0,79.81938934326172,0
68,20.0,137.01597595214844,0
69,12.0,52.39588165283203,0
70,19.0,122.93706512451172,0
71,23.0,177.36819458007812,0
72,69.0,1327.8436279296875,0
73,17.0,100.54486083984375,0
74,21.0,148.5872039794922,0
75,12.0,54.3093147277832,0
76,32.0,330.2611083984375,0
77,14.0,71.85662841796875,0
78,19.0,123.28374481201172,0
79,15.0,79.44319152832031,0
80,20.0,136.33242797851562,0
81,46.0,639.060302734375,0
82,48.0,692.0574951171875,0
83,30.0,290.4364929199219,0
84,53.0,823.0108642578125,0
85,48.0,684.0882568359375,0
86,15.0,79.39694213867188,0
87,29.0,268.9813232421875,0
88,42.0,532.148193359375,0
89,24.0,189.20396423339844,0
90,24.0,191.15853881835938,0
91,25.0,206.18792724609375,0
92,19.0,122.35592651367188,0
93,46.0,626.6805419921875,0
94,22.0,160.44561767578125,0
95,15.0,81.90235137939453,0
96,48.0,681.8764038085938,0
97,38.0,440.4303283691406,0
98,44.0,582.0154418945312,0
99,20.0,137.23110961914062,0
100,29.0,279.0094909667969,0
101,21.0,145.33656311035156,0
102,12.0,57.05870056152344,0
103,20.0,135.24697875976562,0
104,19.0,122.2620849609375,0
105,52.0,784.43408203125,0
106,19.0,123.53401184082031,0
107,11.0,50.150001525878906,0
108,19.0,120.82882690429688,0
109,27.0,236.8224334716797,0
110,33.0,331.4676818847656,0
111,30.0,286.182861328125,0
112,14.0,68.6433334350586,0
113,15.0,77.00314331054688,0
114,23.0,170.4922332763672,0
115,33.0,344.58148193359375,0
116,21.0,144.36431884765625,0
117,17.0,102.32914733886719,0
118,49.0,697.3328247070312,0
119,36.0,392.2186279296875,0
120,36.0,404.265380859375,0
121,67.0,1228.4306640625,0
122,14.0,75.49198913574219,0
123,24.0,186.42669677734375,0
124,39.0,457.20477294921875,0
125,25.0,202.13568115234375,0
126,40.0,472.86077880859375,0
127,36.0,396.138427734375,0
128,71.0,1371.0362548828125,0
129,50.0,722.240966796875,0
130,68.0,1224.77783203125,0
131,45.0,593.034423828125,0
132,15.0,88.47146606445312,0
133,26.0,220.9425048828125,0
134,16.0,91.51044464111328,0
135,42.0,511.7901306152344,0
136,39.0,453.4525451660156,0
137,33.0,338.8859558105469,0
138,26.0,221.19859313964844,0
139,19.0,121.91581726074219,0
140,30.0,272.753173828125,0
141,124.0,3420.0380859375,0
142,53.0,770.063720703125,0
143,40.0,471.2413330078125,0
144,26.0,213.7071075439453,0
145,33.0,319.6478576660156,0
146,27.0,216.24725341796875,0
147,58.0,912.1101684570312,0
148,40.0,484.1358337402344,0
149,72.0,1338.1630859375,0
150,31.0,279.27197265625,0
151,25.0,199.39163208007812,0
152,31.0,283.9562072753906,0
153,20.0,130.36593627929688,0
154,21.0,144.8388214111328,0
155,28.0,222.81639099121094,0
156,37.0,392.1933898925781,0
157,11.0,57.04612731933594,0
158,52.0,684.6484375,0
159,45.0,562.0584106445312,0
160,53.0,736.8160400390625,0
161,34.0,327.46234130859375,0
162,17.0,109.83186340332031,0
163,40.0,452.92193603515625,0
164,29.0,253.5750732421875,0
165,78.0,1567.046630859375,0
166,22.0,158.16488647460938,0
167,86.0,1777.6876220703125,0
168,25.0,184.22787475585938,0
169,23.0,153.09185791015625,0
170,16.0,94.04491424560547,0
171,42.0,511.0275573730469,0
172,27.0,213.16729736328125,0
173,59.0,919.8732299804688,0
174,46.0,577.9920654296875,0
175,32.0,292.9537353515625,0
176,28.0,233.61993408203125,0
177,56.0,825.936767578125,0
178,21.0,141.733642578125,0
179,50.0,709.967529296875,0
