run_id,agent_type,mode_name,delta_value,avg_reward_last_100_ep,max_reward_achieved,avg_spikes_last_100_ep,total_training_time_sec,solved_at_episode,total_episodes_trained
26,SNN,SNN_Expansive,-1.5,224.45,500.0,35687.72452261068,968.8672103881836,-1,800
26,SNN,SNN_Tough,2.5,396.44,500.0,17116.89976502549,1701.224800825119,-1,800
27,ANN,ANN_Baseline,,391.19,500.0,0.0,123.36982297897339,-1,800
27,SNN,SNN_Dissipative,10.0,469.48,500.0,18193.34474845901,1395.7257587909698,-1,800
27,SNN,SNN_Expansive,-1.5,361.92,500.0,68165.37618960522,1056.0042297840118,-1,800
27,SNN,SNN_Tough,2.5,396.27,500.0,17056.91515330091,1323.8160791397095,-1,800
28,ANN,ANN_Baseline,,132.66,500.0,0.0,147.34425258636475,-1,800
28,SNN,SNN_Dissipative,10.0,402.38,500.0,20093.932463679983,1650.4395837783813,-1,800
28,SNN,SNN_Expansive,-1.5,370.73,500.0,50776.79796959068,1401.3376998901367,-1,800
28,SNN,SNN_Tough,2.5,442.3,500.0,23985.57465451112,1022.9719619750977,-1,800
29,ANN,ANN_Baseline,,357.16,500.0,0.0,188.34981560707092,-1,800
29,SNN,SNN_Dissipative,10.0,460.01,500.0,20709.291465341335,1433.660349369049,-1,800
29,SNN,SNN_Expansive,-1.5,353.97,500.0,67659.06131845027,1498.0092697143555,-1,800
29,SNN,SNN_Tough,2.5,295.45,500.0,10826.827767328434,985.4820878505707,-1,800
